ipc_section,ipc_title,bns_section,bns_title,relationship_type,notes,source,verified,last_updated
1,Title and extent of operation of the Code,1,Short title commencement and application,renumbered,BNS adds applicability provisions,india_code+concordance_table,false,2025-01-01
2,Punishment of offences committed within India,1,Short title commencement and application,merged,Merged into BNS Section 1,india_code+concordance_table,false,2025-01-01
3,Punishment of offences committed beyond but which by law may be tried within India,2,Punishment of offences committed within India,renumbered,,india_code+concordance_table,false,2025-01-01
4,Extension of Code to extra-territorial offences,3,Punishment of offences committed beyond India but triable within India,renumbered,Expanded scope for cyber-related offences,india_code+concordance_table,false,2025-01-01
5,Certain laws not to be affected by this Act,4,Applicability of general exceptions and right of private defence,renumbered,,india_code+concordance_table,false,2025-01-01
6,Definitions in the Code to be understood subject to exceptions,5,Certain laws not to be affected by this Sanhita,renumbered,,india_code+concordance_table,false,2025-01-01
7,Sense of expression once explained,6,Definitions in this Sanhita to be understood subject to exceptions,renumbered,,india_code+concordance_table,false,2025-01-01
8,Gender,7,Sense of expression once explained,renumbered,,india_code+concordance_table,false,2025-01-01
9,Number,8,Gender,renumbered,,india_code+concordance_table,false,2025-01-01
10,Man and Woman,9,Number,renumbered,,india_code+concordance_table,false,2025-01-01
11,Person,2(24),Person,renumbered,Moved to definitions chapter in BNS,india_code+concordance_table,false,2025-01-01
12,Public,2(28),Public,renumbered,Moved to definitions chapter in BNS,india_code+concordance_table,false,2025-01-01
14,Servant of Government,2(31),Government servant,renumbered,Terminology updated,india_code+concordance_table,false,2025-01-01
17,Government,2(14),Government,renumbered,Moved to definitions chapter,india_code+concordance_table,false,2025-01-01
19,Judge,2(19),Judge,renumbered,Moved to definitions chapter,india_code+concordance_table,false,2025-01-01
21,Court of Justice,2(7),Court,renumbered,Simplified terminology,india_code+concordance_table,false,2025-01-01
24,Dishonestly,2(10),Dishonestly,renumbered,Moved to definitions chapter,india_code+concordance_table,false,2025-01-01
25,Fraudulently,2(13),Fraudulently,renumbered,Moved to definitions chapter,india_code+concordance_table,false,2025-01-01
26,Reason to believe,2(29),Reason to believe,renumbered,Moved to definitions chapter,india_code+concordance_table,false,2025-01-01
29,Document,2(9),Document,renumbered,Definition expanded to include electronic documents,india_code+concordance_table,false,2025-01-01
33,Act and Omission,2(1)/2(25),Act / Omission,split,IPC combined both terms; BNS defines them separately,india_code+concordance_table,false,2025-01-01
34,Valuable security,2(36),Valuable security,renumbered,,india_code+concordance_table,false,2025-01-01
40,Offence,2(23),Offence,renumbered,Moved to definitions chapter,india_code+concordance_table,false,2025-01-01
44,Injury,2(17),Injury,renumbered,Moved to definitions chapter,india_code+concordance_table,false,2025-01-01
51,Oath,2(22),Oath,renumbered,Moved to definitions chapter,india_code+concordance_table,false,2025-01-01
52,Good faith,2(15),Good faith,renumbered,,india_code+concordance_table,false,2025-01-01
52A,Harbour,2(16),Harbour,renumbered,,india_code+concordance_table,false,2025-01-01
,,2(3),Child,new_in_bns,Entirely new definition — no IPC counterpart,india_code+concordance_table,false,2025-01-01
,,2(6),Community service,new_in_bns,New form of punishment introduced in BNS,india_code+concordance_table,false,2025-01-01
,,2(11),Electronic communication,new_in_bns,New definition for digital era,india_code+concordance_table,false,2025-01-01
76,Act done by a person bound or by mistake of fact believing himself bound by law,14,Act done by a person bound or by mistake of fact believing himself bound by law,renumbered,,india_code+concordance_table,false,2025-01-01
79,Act done by a person justified or by mistake of fact believing himself justified by law,17,Act done by a person justified or by mistake of fact believing himself justified by law,renumbered,,india_code+concordance_table,false,2025-01-01
80,Accident in doing a lawful act,18,Accident in doing a lawful act,renumbered,,india_code+concordance_table,false,2025-01-01
81,Act likely to cause harm but done without criminal intent and to prevent other harm,19,Act likely to cause harm but done without criminal intent,renumbered,,india_code+concordance_table,false,2025-01-01
82,Act of a child under seven years of age,20,Act of child under seven years of age,renumbered,,india_code+concordance_table,false,2025-01-01
83,Act of a child above seven and under twelve of immature understanding,21,Act of child above seven and under twelve of immature understanding,renumbered,,india_code+concordance_table,false,2025-01-01
84,Act of a person of unsound mind,22,Act of a person of unsound mind,renumbered,,india_code+concordance_table,false,2025-01-01
87,Act not intended and not known to be likely to cause death done by consent,25,Act not intended and not known to be likely to cause death or grievous hurt done by consent,renumbered,,india_code+concordance_table,false,2025-01-01
96,Things done in private defence,34,Things done in private defence,renumbered,,india_code+concordance_table,false,2025-01-01
97,Right of private defence of the body and of property,35,Right of private defence of body and property,renumbered,,india_code+concordance_table,false,2025-01-01
100,Right of private defence of the body extends to causing death,38,When right of private defence extends to causing death,renumbered,,india_code+concordance_table,false,2025-01-01
107,Abetment of a thing,45,Abetment of a thing,renumbered,,india_code+concordance_table,false,2025-01-01
108,Abettor,46,Abettor,renumbered,,india_code+concordance_table,false,2025-01-01
109,Punishment of abetment if the act abetted is committed,47,Punishment of abetment if the act abetted is committed in consequence,renumbered,,india_code+concordance_table,false,2025-01-01
114,Abettor present when offence is committed,52,Abettor present when offence committed,renumbered,,india_code+concordance_table,false,2025-01-01
120A,Definition of criminal conspiracy,61,Criminal conspiracy,renumbered,,india_code+concordance_table,false,2025-01-01
120B,Punishment of criminal conspiracy,61,Criminal conspiracy,merged,Merged definition and punishment into one section,india_code+concordance_table,false,2025-01-01
121,Waging or attempting to wage war or abetting waging of war against the Government of India,147,Waging or attempting to wage war or abetting waging of war against Government of India,renumbered,,india_code+concordance_table,false,2025-01-01
124,Assaulting President Governor etc. with intent to compel or restrain the exercise of any lawful power,149,Assaulting President Governor etc,renumbered,,india_code+concordance_table,false,2025-01-01
124A,Sedition,,Repealed,repealed,No direct BNS counterpart. BNS S.152 (acts endangering sovereignty/unity/integrity) is narrower in scope — flag as ambiguous DO NOT auto-map to 152,india_code+concordance_table,false,2025-01-01
,,152,Acts endangering sovereignty unity and integrity of India,new_in_bns,Replaces IPC 124A sedition in narrower scope — not a direct 1:1 mapping,india_code+concordance_table,false,2025-01-01
141,Unlawful assembly,189,Unlawful assembly,renumbered,,india_code+concordance_table,false,2025-01-01
143,Punishment for being member of an unlawful assembly,191,Punishment for unlawful assembly,renumbered,,india_code+concordance_table,false,2025-01-01
146,Rioting,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object,renumbered,,india_code+concordance_table,false,2025-01-01
147,Punishment for rioting,194,Punishment for rioting,renumbered,,india_code+concordance_table,false,2025-01-01
148,Rioting armed with deadly weapon,195,Rioting armed with deadly weapon,renumbered,,india_code+concordance_table,false,2025-01-01
153A,Promoting enmity between different groups and acts prejudicial to maintenance of harmony,196,Promoting enmity between different groups on grounds of religion race place of birth residence language etc,modified,BNS expands scope and increases penalties,india_code+concordance_table,false,2025-01-01
171B,Bribery,170,Bribery at elections,renumbered,,india_code+concordance_table,false,2025-01-01
186,Obstructing public servant in discharge of public functions,220,Obstructing public servant in discharge of public functions,renumbered,,india_code+concordance_table,false,2025-01-01
191,Giving false evidence,229,Giving false evidence,renumbered,,india_code+concordance_table,false,2025-01-01
193,Punishment for false evidence,230,Punishment for false evidence,renumbered,,india_code+concordance_table,false,2025-01-01
195,Giving or fabricating false evidence with intent to procure conviction of capital offence,232,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment,renumbered,,india_code+concordance_table,false,2025-01-01
211,False charge of offence made with intent to injure,248,False charge of offence made with intent to injure,renumbered,,india_code+concordance_table,false,2025-01-01
224,Resistance or obstruction by a person to his lawful apprehension,260,Resistance or obstruction by person to his lawful apprehension,renumbered,,india_code+concordance_table,false,2025-01-01
228,Intentional insult or interruption to public servant sitting in judicial proceeding,264,Intentional insult or interruption to public servant sitting in judicial proceeding,renumbered,,india_code+concordance_table,false,2025-01-01
268,Public nuisance,271,Public nuisance,renumbered,,india_code+concordance_table,false,2025-01-01
269,Negligent act likely to spread infection of disease dangerous to life,272,Negligent act likely to spread infection of disease dangerous to life,renumbered,,india_code+concordance_table,false,2025-01-01
270,Malignant act likely to spread infection of disease dangerous to life,273,Malignant act likely to spread infection of disease dangerous to life,renumbered,,india_code+concordance_table,false,2025-01-01
279,Rash driving or riding on a public way,281,Rash driving or riding on a public way,renumbered,,india_code+concordance_table,false,2025-01-01
292,Sale etc of obscene books,294,Sale etc of obscene material,modified,Expanded to cover digital/electronic obscene material,india_code+concordance_table,false,2025-01-01
295A,Deliberate and malicious acts intended to outrage religious feelings,299,Deliberate and malicious acts intended to outrage religious feelings,renumbered,,india_code+concordance_table,false,2025-01-01
299,Culpable homicide,100,Culpable homicide,renumbered,Similar definition; BNS provides more detailed explanations,india_code+concordance_table,false,2025-01-01
300,Murder,101,Murder,renumbered,,india_code+concordance_table,false,2025-01-01
301,Culpable homicide by causing death of person other than person whose death was intended,102,Culpable homicide by causing death of person other than person whose death was intended,renumbered,,india_code+concordance_table,false,2025-01-01
302,Punishment for murder,103,Punishment for murder,renumbered,BNS adds harsher punishment for murder on grounds of race/caste etc and mob lynching,india_code+concordance_table,false,2025-01-01
304,Punishment for culpable homicide not amounting to murder,105,Punishment for culpable homicide not amounting to murder,renumbered,,india_code+concordance_table,false,2025-01-01
304A,Causing death by negligence,106,Causing death by negligence,modified,BNS enhances punishment for death caused by rash/negligent driving — up to 10 years,india_code+concordance_table,false,2025-01-01
304B,Dowry death,80,Dowry death,renumbered,,india_code+concordance_table,false,2025-01-01
306,Abetment of suicide,108,Abetment of suicide,renumbered,,india_code+concordance_table,false,2025-01-01
307,Attempt to murder,109,Attempt to murder,renumbered,,india_code+concordance_table,false,2025-01-01
308,Attempt to commit culpable homicide,110,Attempt to commit culpable homicide,renumbered,,india_code+concordance_table,false,2025-01-01
312,Causing miscarriage,88,Causing miscarriage,renumbered,,india_code+concordance_table,false,2025-01-01
319,Hurt,114,Hurt,renumbered,,india_code+concordance_table,false,2025-01-01
320,Grievous hurt,115,Grievous hurt,renumbered,,india_code+concordance_table,false,2025-01-01
321,Voluntarily causing hurt,115,Voluntarily causing hurt,renumbered,,india_code+concordance_table,false,2025-01-01
322,Voluntarily causing grievous hurt,117,Voluntarily causing grievous hurt,renumbered,,india_code+concordance_table,false,2025-01-01
323,Punishment for voluntarily causing hurt,115,Punishment for voluntarily causing hurt,renumbered,,india_code+concordance_table,false,2025-01-01
324,Voluntarily causing hurt by dangerous weapons or means,118,Voluntarily causing hurt by dangerous weapons or means,renumbered,,india_code+concordance_table,false,2025-01-01
326,Voluntarily causing grievous hurt by dangerous weapons or means,118,Voluntarily causing grievous hurt by dangerous weapons or means,renumbered,Needs verification — possible merge with 324 mapping,india_code+concordance_table,false,2025-01-01
354,Assault or criminal force to woman with intent to outrage her modesty,74,Assault or use of criminal force to woman with intent to outrage her modesty,renumbered,,india_code+concordance_table,false,2025-01-01
354A,Sexual harassment,75,Sexual harassment and punishment for sexual harassment,renumbered,,india_code+concordance_table,false,2025-01-01
354B,Assault or use of criminal force to woman with intent to disrobe,76,Assault or use of criminal force to woman with intent to disrobe,renumbered,,india_code+concordance_table,false,2025-01-01
354C,Voyeurism,77,Voyeurism,renumbered,,india_code+concordance_table,false,2025-01-01
354D,Stalking,78,Stalking,renumbered,,india_code+concordance_table,false,2025-01-01
359,Kidnapping,137,Kidnapping,renumbered,,india_code+concordance_table,false,2025-01-01
362,Abduction,138,Abduction,renumbered,,india_code+concordance_table,false,2025-01-01
363,Punishment for kidnapping,139,Punishment for kidnapping,renumbered,,india_code+concordance_table,false,2025-01-01
363A,Kidnapping or maiming a minor for purposes of begging,140,Kidnapping or maiming a minor for purposes of begging,renumbered,,india_code+concordance_table,false,2025-01-01
364A,Kidnapping for ransom,140,Kidnapping for ransom etc,modified,BNS increases minimum punishment,india_code+concordance_table,false,2025-01-01
370,Trafficking of person,143,Trafficking of person,modified,BNS broadens definition and increases punishment,india_code+concordance_table,false,2025-01-01
375,Rape,63,Rape,renumbered,Definition expanded to include digital penetration and other non-consensual acts,india_code+concordance_table,false,2025-01-01
376,Punishment for rape,64,Punishment for rape,modified,BNS increases minimum punishment; adds death penalty for rape of minor under 12,india_code+concordance_table,false,2025-01-01
376A,Punishment for causing death or resulting in persistent vegetative state of victim,66,Punishment for causing death or resulting in persistent vegetative state,renumbered,,india_code+concordance_table,false,2025-01-01
376AB,Punishment for rape on woman under twelve years of age,65,Punishment for rape on woman under eighteen years of age,modified,BNS consolidates age-based provisions,india_code+concordance_table,false,2025-01-01
376B,Sexual intercourse by husband upon his wife during separation,67,Sexual intercourse by person in authority,modified,Scope significantly changed,india_code+concordance_table,false,2025-01-01
376C,Sexual intercourse by person in authority,68,Sexual intercourse by person in authority,renumbered,,india_code+concordance_table,false,2025-01-01
376D,Gang rape,70,Gang rape,renumbered,Harsher punishment in BNS,india_code+concordance_table,false,2025-01-01
376DA,Gang rape on woman under sixteen years of age,70,Gang rape,merged,Merged into BNS 70 with age-specific provisions,india_code+concordance_table,false,2025-01-01
