group,n,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_5,mrr,hit_rate,mean_rank
overall,1140,0.0895,0.2649,0.3035,0.3509,0.1081,0.2672,0.6667,4.49
natural,1122,0.09,0.2647,0.303,0.3476,0.1082,0.2673,0.6649,4.49
adversarial,18,0.0556,0.2778,0.3333,0.5556,0.1,0.2562,0.7778,4.57
ipc_bns_direct,952,0.0893,0.2752,0.3141,0.3634,0.1067,0.2718,0.6786,4.58
crpc_bnss_direct,108,0.0741,0.0741,0.0741,0.0741,0.0981,0.188,0.5093,4.44
repealed,6,0.0,0.0,0.0,0.1667,0.0,0.0446,0.3333,7.5
split_merged,10,0.0,0.7,0.8,0.8,0.18,0.301,0.9,3.44
cat_A_ipc_bns_direct,952,0.0893,0.2752,0.3141,0.3634,0.1067,0.2718,0.6786,4.58
cat_B_crpc_bnss_direct,108,0.0741,0.0741,0.0741,0.0741,0.0981,0.188,0.5093,4.44
cat_C_natural_scenarios,25,0.12,0.36,0.44,0.44,0.12,0.3051,0.6,3.07
cat_D_repealed_provisions,6,0.0,0.0,0.0,0.1667,0.0,0.0446,0.3333,7.5
cat_E_split_provisions,5,0.0,0.4,0.6,0.6,0.16,0.2352,0.8,4.25
cat_F_merged_provisions,5,0.0,1.0,1.0,1.0,0.2,0.3667,1.0,2.8
cat_G_changed_meaning_scope,6,0.0,0.5,0.8333,0.8333,0.2,0.3333,0.8333,2.8
cat_H_adversarial,18,0.0556,0.2778,0.3333,0.5556,0.1,0.2562,0.7778,4.57
cat_I_temporal_current_law,10,0.0,0.3,0.4,0.6,0.16,0.2968,0.9,4.11
cat_J_incremental_refresh,5,1.0,1.0,1.0,1.0,0.32,1.0,1.0,1.0
