category,n,recall_at_5,mrr,answer_accuracy,answer_accuracy_ci,citation_accuracy,verifier_f1
A_ipc_bns_direct,952,31.4%,0.272,30.5% (290/952),[27.6%–33.5%],30.5%,0.0%
B_crpc_bnss_direct,108,7.4%,0.188,11.1% (12/108),[6.5%–18.4%],11.1%,0.0%
C_natural_scenarios,25,44.0%,0.305,32.0% (8/25),[17.2%–51.6%],32.0%,0.0%
D_repealed_provisions,6,0.0%,0.045,0.0% (0/6),[0.0%–39.0%],0.0%,0.0%
E_split_provisions,5,60.0%,0.235,20.0% (1/5),[3.6%–62.4%],20.0%,0.0%
F_merged_provisions,5,100.0%,0.367,20.0% (1/5),[3.6%–62.4%],20.0%,0.0%
G_changed_meaning_scope,6,83.3%,0.333,50.0% (3/6),[18.8%–81.2%],50.0%,0.0%
H_adversarial,18,33.3%,0.256,27.8% (5/18),[12.5%–50.9%],27.8%,97.1%
I_temporal_current_law,10,40.0%,0.297,40.0% (4/10),[16.8%–68.7%],40.0%,0.0%
J_incremental_refresh,5,100.0%,1.000,100.0% (5/5),[56.6%–100.0%],100.0%,0.0%
