group,n,citation_hit_rate,ci_low,ci_high
overall,1140,28.86,26.3,31.6
natural,1122,28.88,26.3,31.6
adversarial,18,27.78,12.5,50.9
cat_A_ipc_bns_direct,952,30.46,27.6,33.5
cat_B_crpc_bnss_direct,108,11.11,6.5,18.4
cat_C_natural_scenarios,25,32.0,17.2,51.6
cat_D_repealed_provisions,6,0.0,0.0,39.0
cat_E_split_provisions,5,20.0,3.6,62.4
cat_F_merged_provisions,5,20.0,3.6,62.4
cat_G_changed_meaning_scope,6,50.0,18.8,81.2
cat_H_adversarial,18,27.78,12.5,50.9
cat_I_temporal_current_law,10,40.0,16.8,68.7
cat_J_incremental_refresh,5,100.0,56.6,100.0
